Shrt_Desc	Water_(g)	Energ_Kcal	Protein_(g)	Lipid_Tot_(g)	Ash_(g)	Carbohydrt_(g)	Fiber_TD_(g)	Sugar_Tot_(g)	Calcium_(mg)	Iron_(mg)	Magnesium_(mg)	Phosphorus_(mg)	Potassium_(mg)	Sodium_(mg)	Zinc_(mg)	Copper_(mg)	Manganese_(mg)	Selenium_(?g)	Vit_C_(mg)	Thiamin_(mg)	Riboflavin_(mg)	Niacin_(mg)	Panto_Acid_(mg)	Vit_B6_(mg)	Folate_Tot_(?g)	Food_Folate_(?g)	Folate_DFE_(?g)	Choline_Tot_(mg)	Vit_B12_(?g)	Vit_A_IU	Vit_A_RAE	Retinol_(?g)	Alpha_Carot_(?g)	Beta_Carot_(?g)	Beta_Crypt_(?g)	Lut_Zea_(?g)	Vit_E_(mg)	Vit_D_?g	Vit_D_IU	Vit_K_(?g)	FA_Sat_(g)	FA_Mono_(g)	FA_Poly_(g)	Cholestrl_(mg)
"CHEESE,MOZZARELLA,WHL_MILK"	50.01	300	22.17	22.35	3.28	2.19	0	1.03	505	0.44	20	354	76	627	2.92	0.011	0.03	17	0	0.03	0.283	0.104	0.141	0.037	7	7	7	15.4	2.28	676	179	174	0	57	0	0	0.19	0.4	16	2.3	13.152	6.573	0.765	79
"CHEESE,MOZZARELLA,WHL_MILK,LO_MOIST"	48.38	318	21.6	24.64	2.91	2.47	0	1.01	575	0.2	21	412	75	710	2.46	0.022	0.009	16.1	0	0.016	0.27	0.094	0.071	0.062	8	8	8	15	0.73	745	197	192	0	63	0	0	0.21	0.5	18	2.5	15.561	7.027	0.778	89
"CHEESE,MOZZARELLA,PART_SKIM_MILK"	53.78	254	24.26	15.92	3.27	2.77	0	1.13	782	0.22	23	463	84	619	2.76	0.025	0.01	14.4	0	0.018	0.303	0.105	0.079	0.07	9	9	9	15.4	0.82	481	127	124	0	41	0	0	0.14	0.3	12	1.6	10.114	4.51	0.472	64
"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM"	47.07	295	23.75	19.78	3.83	5.58	0	1.9	697	0.22	27	548	188	666	3.62	0.033	0.039	27.6	0	0.024	0.353	0.111	0.429	0.1	27	27	27	14.2	1.68	829	223	223	0	51	0	0	0.5	0.4	15	1.3	11.295	5.741	1.019	64
"CHEESE,MUENSTER"	41.77	368	23.41	30.04	3.66	1.12	0	1.12	717	0.41	27	468	134	628	2.81	0.031	0.008	14.5	0	0.013	0.32	0.103	0.19	0.056	12	12	12	15.4	1.47	1012	298	297	0	13	0	0	0.26	0.6	22	2.5	19.113	8.711	0.661	96
"CHEESE,NEUFCHATEL"	63.11	253	9.15	22.78	1.37	3.59	0	3.19	117	0.13	10	138	152	334	0.82	0.027	0.011	3	0	0.022	0.155	0.21	0.575	0.041	14	14	14	0	0.3	841	241	239	0	27	0	0	0.4	0	0	1.7	12.79	5.784	0.97	74
"CHEESE,PARMESAN,GRATED"	22.65	420	28.42	27.84	7.18	13.91	0	0.07	853	0.49	34	627	180	1804	4.2	0.04	0.071	34.4	0	0.026	0.358	0.08	0.45	0.081	6	6	6	14.1	1.4	974	262	255	0	73	0	0	0.53	0.5	21	1.7	15.371	7.13	1.386	86
"CHEESE,PARMESAN,HARD"	29.16	392	35.75	25.83	6.04	3.22	0	0.8	1184	0.82	44	694	92	1376	2.75	0.032	0.02	22.5	0	0.039	0.332	0.271	0.453	0.091	7	7	7	15.4	1.2	781	207	201	0	66	0	0	0.22	0.5	19	1.7	16.41	7.515	0.569	68
"CHEESE,PORT DE SALUT"	45.45	352	23.78	28.2	2	0.57	0	0.57	650	0.43	24	360	136	534	2.6	0.022	0.011	14.5	0	0.014	0.24	0.06	0.21	0.053	18	18	18	15.4	1.5	1092	315	313	0	29	0	0	0.24	0.5	21	2.4	16.691	9.338	0.729	123
"CHEESE,PROVOLONE"	40.95	351	25.58	26.62	4.71	2.14	0	0.56	756	0.52	28	496	138	876	3.23	0.026	0.01	14.5	0	0.019	0.321	0.156	0.476	0.073	10	10	10	15.4	1.46	880	236	230	0	68	0	0	0.23	0.5	20	2.2	17.078	7.393	0.769	69
"CHEESE,RICOTTA,WHOLE MILK"	71.7	174	11.26	12.98	1.02	3.04	0	0.27	207	0.38	11	158	105	84	1.16	0.021	0.006	14.5	0	0.013	0.195	0.104	0.213	0.043	12	12	12	17.5	0.34	445	120	117	0	33	0	0	0.11	0.2	10	1.1	8.295	3.627	0.385	51
"CHEESE,RICOTTA,PART SKIM MILK"	74.41	138	11.39	7.91	1.15	5.14	0	0.31	272	0.44	15	183	125	99	1.34	0.034	0.01	16.7	0	0.021	0.185	0.078	0.242	0.02	13	13	13	16.3	0.29	384	107	105	0	20	0	0	0.07	0.1	6	0.7	4.927	2.314	0.26	31
"CHEESE,ROMANO"	30.91	387	31.8	26.94	6.72	3.63	0	0.73	1064	0.77	41	760	86	1433	2.58	0.03	0.02	14.5	0	0.037	0.37	0.077	0.424	0.085	7	7	7	15.4	1.12	415	96	90	0	69	0	0	0.23	0.5	20	2.2	17.115	7.838	0.593	104
"CHEESE,ROQUEFORT"	39.38	369	21.54	30.64	6.44	2	0	0	662	0.56	30	392	91	1809	2.08	0.034	0.03	14.5	0	0.04	0.586	0.734	1.731	0.124	49	49	49	0	0.64	1047	294	290	0	0	0	0	0	0	0	0	19.263	8.474	1.32	90
"CHEESE,SWISS"	37.63	393	26.96	30.99	2.97	1.44	0	0	890	0.13	33	574	72	187	4.37	0.047	0.026	30	0	0.011	0.302	0.064	0.353	0.071	10	10	10	15.5	3.06	1047	288	283	1	61	2	8	0.6	0	0	1.4	18.227	8.046	1.341	93
"CHEESE,TILSIT"	42.86	340	24.41	25.98	4.87	1.88	0	0	700	0.23	13	500	65	753	3.5	0.026	0.013	14.5	0	0.061	0.359	0.205	0.346	0.065	20	20	20	0	2.1	1045	249	236	0	0	0	0	0	0	0	0	16.775	7.136	0.721	102
"CHEESE,PAST PROCESS,AMERICAN,FORT W/VITAMIN D"	39.61	366	18.13	30.71	6.78	4.78	0	2.26	1045	0.63	26	641	132	1671	2.49	0.046	0.041	20.2	0	0.015	0.234	0.076	0.403	0.054	8	8	8	19.2	1.5	1131	317	313	0	49	7	21	0.8	7.5	301	3.7	18.057	8.236	1.286	100
"CHEESE,PAST PROCESS,PIMENTO"	39.08	375	22.13	31.2	5.84	1.73	0.1	0.62	614	0.42	22	744	162	915	2.98	0.033	0.016	14.5	2.3	0.027	0.354	0.078	0.485	0.071	8	8	8	34.7	0.7	1030	244	231	12	150	0	18	0.29	0.5	22	2.9	19.663	8.937	0.988	94
"CHEESE,PAST PROCESS,SWISS"	42.31	334	24.73	25.01	5.85	2.1	0	1.23	772	0.61	29	762	216	1370	3.61	0.027	0.014	15.9	0	0.014	0.276	0.038	0.26	0.036	6	6	6	36.2	1.23	746	198	192	0	63	0	0	0.34	0.5	18	2.2	16.045	7.046	0.622	85
"CHEESE FD,COLD PK,AMERICAN"	43.12	331	19.66	24.46	4.44	8.32	0	0	497	0.84	30	400	363	966	3.01	0.03	0.01	16.2	0	0.03	0.446	0.074	0.977	0.141	5	5	5	0	1.28	705	0	0	0	0	0	0	0	0	0	0	15.355	7.165	0.719	64
"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN_D_FORT"	44	330	16.86	25.63	4.96	8.56	0	5.59	682	0.26	27	438	255	1284	2.31	0.034	0.025	19.6	0	0.035	0.36	0.155	0.855	0.102	7	7	7	36.2	1.33	761	201	196	0	65	0	0	0.63	2.5	102	3.4	15.057	6.846	1.049	98
"CHEESE FD,PAST PROCESS,SWISS"	43.67	323	21.92	24.14	5.77	4.5	0	0	723	0.6	28	526	284	1552	3.55	0.03	0.01	16.1	0	0.014	0.4	0.104	0.5	0.035	6	6	6	0	2.3	856	237	233	0	0	0	0	0	0	0	0	15.487	6.801	0.6	82
"CHEESE SPRD,PAST PROCESS,AMERICAN"	47.65	290	16.41	21.23	5.98	8.73	0	7.32	562	0.33	29	875	242	1625	2.59	0.033	0.02	11.3	0	0.048	0.431	0.131	0.686	0.117	7	7	7	36.2	0.4	653	173	168	0	55	0	0	0.19	0.4	16	1.8	13.327	6.219	0.624	55

